cell_class	channel_combo	compartment_combo	plate	well
all	DAPI_ConA_Stat6_Mitotracker_NHS_ester_Tubulin_WGA_cMYC_CDPK1	cell	1	A3
all	DAPI_ConA_Stat6_Mitotracker_NHS_ester_Tubulin_WGA_cMYC_CDPK1	cell	1	B2
