sample_fp	plate	cycle	well	tile
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-033__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	33
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-034__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	34
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-035__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	35
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-036__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	36
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-037__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	37
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-038__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	38
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-039__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	39
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-040__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	40
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-041__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	41
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-042__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	42
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-043__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	43
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-044__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	44
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-045__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	45
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-046__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	46
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-047__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	47
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-048__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	48
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-049__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	49
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-050__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	50
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-051__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	51
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-052__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	52
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-053__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	53
