index	sample_fp	plate	well	tile	round
40886	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-010__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	10	3
40887	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-011__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	11	1
40888	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-011__Channel_DAPI,GFP.nd2	1	B2	11	2
40889	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-011__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	11	3
40890	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-012__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	12	1
40891	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-012__Channel_DAPI,GFP.nd2	1	B2	12	2
40892	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-012__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	12	3
40893	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-013__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	13	1
40894	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-013__Channel_DAPI,GFP.nd2	1	B2	13	2
40895	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-013__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	13	3
40896	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-014__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	14	1
40897	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-014__Channel_DAPI,GFP.nd2	1	B2	14	2
40898	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-014__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	14	3
40899	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-015__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	15	1
